 UTC           m   sec  deg     m     sec    mB     m/s  deg Air(C) Sfc(C) m/s deg  f
2012 05 27 11 32  1.82  9.09 132           6.78                           21.0           1
2012 05 27 12 02  1.60  9.09 131           6.25                           21.0           1
2012 05 27 12 32  1.58  9.09 128           6.19                           21.0           1
2012 05 27 13 02  1.81  9.09 128           6.46                           21.0           1
2012 05 27 13 32  1.56  8.33 131           6.04                           20.9           1
2012 05 27 14 02  1.41  8.33 134           5.93                           20.9           1
2012 05 27 14 32  1.61  9.09 128           6.39                           21.0           1
2012 05 27 15 02  1.48  8.33 131           6.19                           21.0           1
2012 05 27 15 32  1.58  9.09 125           6.33                           21.0           1
2012 05 27 16 02  1.59  9.09 125           6.38                           21.1           1
2012 05 27 16 32  1.62  8.33 131           6.52                           21.2           1
2012 05 27 17 02  1.46  8.33 125           6.15                           21.4           1
2012 05 27 17 32  1.52  8.33 131           6.45                           21.5           1
2012 05 27 18 02  1.43  8.33 130           6.20                           21.5           1
2012 05 27 18 32  1.45  8.33 130           6.30                           21.5           1
2012 05 27 19 02  1.36  8.33 132           6.22                           21.8           1
2012 05 27 19 32  1.46  8.33 125           6.24                           21.8           1
2012 05 27 20 02  1.32  8.33 128           6.00                           21.6           1
2012 05 27 20 32  1.44  8.33 132           6.20                           21.6           1
2012 05 27 21 02  1.31  8.33 127           6.00                           21.6           1
2012 05 27 21 32  1.36  8.33 131           6.09                           21.6           1
2012 05 27 22 02  1.44  8.33 125           6.19                           21.5           1
2012 05 27 22 32  1.35  8.33 124           5.92                           21.5           1
2012 05 27 23 02  1.37  8.33 130           5.87                           21.5           1
2012 05 27 23 32  1.38  7.69 134           5.89                           21.4           1
2012 05 28 00 02  1.44  8.33 127           5.83                           21.3           1
2012 05 28 00 32  1.37  8.33 128           5.74                           21.3           1
2012 05 28 01 02  1.39  7.69 127           5.67                           21.3           1
2012 05 28 01 32  1.41  7.69 127           5.62                           21.2           1
2012 05 28 02 02  1.38  7.69 132           5.50                           21.2           1
2012 05 28 02 32  1.40  7.69 135           5.51                           21.2           1
2012 05 28 03 02  1.36  8.33 130           5.36                           21.2           1
2012 05 28 03 32  1.24  7.69 138           5.31                           21.1           1
2012 05 28 04 02  1.28  7.69 134           5.67                           21.1           1
2012 05 28 04 32  1.22  7.69 134           5.61                           21.1           1
2012 05 28 05 02  1.24  7.69 134           5.62                           21.1           1
2012 05 28 05 32  1.29  7.69 131           5.92                           21.1           1
2012 05 28 06 02  1.22  8.33 134           5.81                           21.1           1
2012 05 28 06 32  1.17  7.69 128           5.99                           21.7           1
2012 05 28 07 02  1.04  7.69 135           5.56                           21.8           1
2012 05 28 07 32  1.09  7.69 135           5.60                           21.8           1
2012 05 28 08 02  1.05  7.69 132           5.73                           21.7           1
2012 05 28 08 32  1.06  7.69 132           5.69                           21.7           1
2012 05 28 09 02  1.11  7.69 134           5.93                           21.7           1
2012 05 28 09 32  1.04  7.14 131           5.62                           21.6           1
2012 05 28 10 02  1.01  7.69 130           5.49                           21.6           1
2012 05 28 10 32  1.00  7.69 134           5.18                           21.6           1
2012 05 28 11 02  1.06  7.69 131           5.05                           21.6           1
2012 05 28 11 32  1.05  7.14 137           4.93                           21.6           1
2012 05 28 12 02  1.08  7.69 131           5.10                           21.6           1
2012 05 28 12 32  0.99  7.69 132           4.94                           21.6           1
2012 05 28 13 02  0.98  7.69 125           5.13                           21.7           1
2012 05 28 13 32  1.02  7.69 131           5.42                           22.0           1
2012 05 28 14 02  0.96  7.14 132           5.32                           22.1           1
2012 05 28 14 32  0.96  7.14 142           5.50                           22.5           1
2012 05 28 15 02  0.86  8.33 114           5.25                           22.5           1
2012 05 28 15 32  0.95  8.33 120           5.52                           22.6           1
2012 05 28 16 02  0.89  7.69 125           5.48                           22.9           1
2012 05 28 16 32  0.93  7.14 134           5.71                           22.8           1
2012 05 28 17 02  0.88  7.14 137           5.56                           22.8           1
2012 05 28 17 32  0.89  7.69 121           5.55                           22.7           1
2012 05 28 18 02  0.87  7.14 137           5.19                           22.8           1
2012 05 28 18 32  0.91  7.14 137           5.24                           22.7           1
2012 05 28 19 02  0.89  7.69 124           4.78                           22.5           1
2012 05 28 19 32  0.85  7.14 130           4.92                           22.5           1
2012 05 28 20 02  0.85  7.14 138           4.94                           22.6           1
2012 05 28 20 32  0.85  7.14 134           4.90                           22.5           1
2012 05 28 21 02  0.96  7.14 137           4.96                           22.5           1
2012 05 28 21 32  0.87  7.14 130           4.91                           22.4           1
2012 05 28 22 02  0.90  7.69 127           4.67                           22.4           1
2012 05 28 22 32  0.92  7.14 131           4.47                           22.4           1
2012 05 28 23 02  0.97  7.69 125           4.69                           22.4           1
2012 05 28 23 32  0.94  7.14 138           4.50                           22.3           1
2012 05 29 00 02  0.95  6.67 132           4.41                           22.2           1
2012 05 29 00 32  0.92  6.25 138           4.39                           22.1           1
2012 05 29 01 02  0.87  7.69 130           4.47                           22.1           1
2012 05 29 01 32  0.90  6.67 132           4.52                           22.1           1
2012 05 29 02 02  0.87  7.14 134           4.49                           22.0           1
2012 05 29 02 32  0.83  7.14 135           4.54                           22.0           1
2012 05 29 03 02  0.86  6.67 135           4.63                           22.0           1
2012 05 29 03 32  0.84  6.67 138           4.41                           22.0           1
2012 05 29 04 02  0.78  6.67 139           4.49                           22.0           1
2012 05 29 04 32  0.81  6.67 134           4.66                           22.0           1
2012 05 29 05 02  0.75  6.67 138           4.40                           22.0           1
2012 05 29 05 32  0.73  6.67 137           4.42                           22.0           1
2012 05 29 06 02  0.76  6.67 132           4.50                           21.9           1
2012 05 29 06 32  0.75  7.14 135           4.46                           21.6           1
2012 05 29 07 02  0.75  7.69 130           4.37                           21.5           1
2012 05 29 07 32  0.74  7.69 132           4.82                           21.5           1
2012 05 29 08 02  0.72  6.67 134           4.59                           21.5           1
2012 05 29 08 32  0.68  6.67 135           4.77                           21.5           1
2012 05 29 09 02  0.68  6.67 134           4.78                           21.5           1
2012 05 29 09 32  0.70  8.33 118           4.84                           21.4           1
2012 05 29 10 02  0.66  7.14 130           4.91                           21.2           1
2012 05 29 10 32  0.67  5.56 135           5.01                           21.1           1
2012 05 29 11 02  0.64  8.33 123           4.71                           21.1           1
2012 05 29 11 32  0.64  7.14 137           4.79                           21.0           1
2012 05 29 12 02  0.62  7.69 131           4.81                           21.0           1
2012 05 29 12 32  0.64  8.33 123           5.03                           20.9           1
2012 05 29 13 02  0.62  7.14 125           4.66                           20.9           1
2012 05 29 13 32  0.64  8.33 121           4.76                           20.9           1
2012 05 29 14 02  0.65  9.09 120           5.04                           21.0           1
2012 05 29 14 32  0.64  6.67 131           4.93                           21.3           1
2012 05 29 15 02  0.63  6.67 138           4.83                           21.4           1
2012 05 29 15 32  0.64  8.33 124           4.84                           21.6           1
2012 05 29 16 02  0.65  7.69 134           4.95                           21.5           1
2012 05 29 16 32  0.61  7.69 134           4.36                           21.5           1
2012 05 29 17 02  0.68  7.69 130           4.32                           21.6           1
2012 05 29 17 32  0.66  7.14 137           4.33                           21.6           1
2012 05 29 18 02  0.66  6.67 131           4.15                           21.7           1
2012 05 29 18 32  0.65  7.69 128           4.30                           21.6           1
2012 05 29 19 02  0.65  7.14 141           4.26                           21.8           1
2012 05 29 19 32  0.69  7.14 131           4.16                           21.9           1
2012 05 29 20 02  0.65  7.69 138           4.14                           21.8           1
2012 05 29 20 32  0.66  7.14 138           4.27                           21.9           1
2012 05 29 21 02  0.65  7.69 128           4.24                           22.0           1
2012 05 29 21 32  0.67  6.67 149           4.03                           22.0           1
2012 05 29 22 02  0.82  3.57 156           3.81                           21.9           1
2012 05 29 22 32  0.87  3.85 161           3.75                           21.8           1
2012 05 29 23 02  0.87  3.57 166           3.83                           21.8           1
2012 05 29 23 32  0.85  3.70 158           3.71                           21.8           1
