date_time,Wind Direction (degree)
2012-01-04T16:19:59Z,279.208068848
2012-01-04T16:30:00Z,268.529022217
2012-01-04T16:40:00Z,279.16986084
2012-01-04T16:49:59Z,279.154266357
2012-01-04T17:00:00Z,273.448669434
2012-01-04T17:09:59Z,268.988250732
2012-01-04T17:20:00Z,259.586791992
2012-01-04T17:29:59Z,259.15447998
2012-01-04T17:40:00Z,258.792877197
2012-01-04T18:00:00Z,256.653778076
2012-01-04T18:10:00Z,257.86026001
2012-01-04T18:19:59Z,257.19354248
2012-01-04T18:30:00Z,250.105834961
2012-01-04T18:39:59Z,239.360916138
2012-01-04T18:50:00Z,242.302246094
2012-01-04T18:59:59Z,238.25718689
2012-01-04T19:10:00Z,238.42640686
2012-01-04T19:19:59Z,242.044067383
2012-01-04T19:30:00Z,240.788391113
2012-01-04T19:40:00Z,248.498413086
2012-01-04T19:49:59Z,237.912765503
2012-01-04T20:00:00Z,238.209442139
2012-01-04T20:09:59Z,228.336410522
2012-01-04T20:20:00Z,234.045166016
2012-01-04T20:29:59Z,231.356399536
2012-01-04T20:40:00Z,234.045898438
2012-01-04T21:00:00Z,220.016769409
2012-01-04T21:10:00Z,218.152832031
2012-01-04T21:19:59Z,226.369064331
2012-01-04T21:30:00Z,230.326202393
2012-01-04T21:39:59Z,236.616470337
2012-01-04T21:50:00Z,226.910003662
2012-01-04T21:59:59Z,212.294403076
2012-01-04T22:10:00Z,211.458236694
2012-01-04T22:19:59Z,209.743560791
2012-01-04T22:30:00Z,209.761444092
2012-01-04T22:40:00Z,211.60508728
2012-01-04T22:49:59Z,209.175338745
2012-01-04T23:00:00Z,210.697494507
2012-01-04T23:09:59Z,198.755462646
2012-01-04T23:20:00Z,202.545013428
2012-01-04T23:29:59Z,205.565383911
2012-01-04T23:40:00Z,203.998840332
2012-01-05T00:00:00Z,207.919921875
2012-01-05T00:10:00Z,200.694534302
2012-01-05T00:19:59Z,204.160491943
2012-01-05T00:30:00Z,207.702606201
2012-01-05T00:39:59Z,209.434112549
2012-01-05T00:50:00Z,215.704864502
2012-01-05T00:59:59Z,216.449172974
2012-01-05T01:10:00Z,213.922073364
2012-01-05T01:19:59Z,213.094177246
2012-01-05T01:30:00Z,217.300369263
2012-01-05T01:40:00Z,216.362228394
2012-01-05T01:49:59Z,216.256347656
